row_order,schedule_index,condition,model_key,model,pubmed_id,gold_label,decision,error_prob,action,parse_status,parse_notes,is_correct,evidence_policy,evidence_chars,max_tokens,threshold_rule,prompt_tokens,completion_tokens,total_tokens,api_attempts,api_error,retry_events_json,response_id,response_model,system_fingerprint,request_started_utc,request_finished_utc,latency_seconds,raw_response,raw_length
1,0,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,26348845,SUPPORTED,REFUTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,632,21,653,1,,[],p1Su1hT-4YNCb4-a3bc0c0e6d0ca273,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:08.957760+00:00,2026-09-16T01:20:09.818244+00:00,0.86,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
2,15,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,10973547,REFUTED,SUPPORTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,624,20,644,1,,[],p1Su8ET-fdNmn-a3bc0c984f93f867,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:30.999600+00:00,2026-09-16T01:20:32.025169+00:00,1.026,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
3,20,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,26163474,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,570,20,590,1,,[],p1Su9rM-fdNmn-a3bc0cba5ad1a273,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:36.529025+00:00,2026-09-16T01:20:37.760323+00:00,1.231,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
4,27,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,24374414,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,556,20,576,1,,[],p1SuCHK-4YNCb4-a3bc0cedbb18a275,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:44.724125+00:00,2026-09-16T01:20:45.645521+00:00,0.921,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
5,32,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,18507507,SUPPORTED,INCONCLUSIVE,0.7,SEEK_EVIDENCE,full,clean,0,short,1200,300,explicit_numeric,526,24,550,1,,[],p1SuE3N-4YNCb4-a3bc0d12bcc931ac,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:50.660872+00:00,2026-09-16T01:20:52.096657+00:00,1.436,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.7
ACTION: SEEK_EVIDENCE",67
6,47,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,23495128,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,551,20,571,1,,[],p1SuKFF-fdNmn-a3bc0d7fd9aa5b53,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:08.120935+00:00,2026-09-16T01:21:08.890417+00:00,0.77,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
7,52,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,17192736,REFUTED,REFUTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,631,21,652,1,,[],p1SuLz9-fdNmn-a3bc0da4487da272,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:13.901423+00:00,2026-09-16T01:21:15.035310+00:00,1.134,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
8,59,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,12163782,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,599,20,619,1,,[],p1SuPNn-4YNCb4-a3bc0dd6fb95a284,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:21.999412+00:00,2026-09-16T01:21:23.410308+00:00,1.411,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
9,64,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,9582182,SUPPORTED,REFUTED,0.2,COMMIT,full,clean,0,short,1100,300,explicit_numeric,570,21,591,1,,[],p1SuRFT-4YNCb4-a3bc0dfe59a12e68,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:28.341612+00:00,2026-09-16T01:21:29.362373+00:00,1.021,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
10,79,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,25588461,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,565,20,585,1,,[],p1SuWQT-4YNCb4-a3bc0e6abebc2bc5,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:45.654491+00:00,2026-09-16T01:21:47.405449+00:00,1.751,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
11,84,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,23453079,SUPPORTED,REFUTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,582,21,603,1,,[],p1SuYT1-fdNmn-a3bc0e955b605683,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:52.507975+00:00,2026-09-16T01:21:53.559202+00:00,1.051,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
12,91,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,14518645,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,891,300,explicit_numeric,536,20,556,1,,[],p1Suani-4YNCb4-a3bc0ec6da2728bf,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:22:00.396991+00:00,2026-09-16T01:22:01.191307+00:00,0.794,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
13,96,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,21084567,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1105,300,explicit_numeric,567,20,587,1,,[],p1Sudk3-fdNmn-a3bc0f04cb0d0aa4,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:22:10.329493+00:00,2026-09-16T01:22:11.150099+00:00,0.821,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
14,111,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,11601252,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1018,300,explicit_numeric,562,20,582,1,,[],p1SuisG-fdNmn-a3bc0f705f45a2c4,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:22:27.532633+00:00,2026-09-16T01:22:28.455767+00:00,0.923,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
15,116,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,20577124,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,601,20,621,1,,[],p1SukUe-fdNmn-a3bc0f92686cf449,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:22:32.980759+00:00,2026-09-16T01:22:34.189962+00:00,1.209,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
16,123,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,16647887,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,short,932,300,explicit_numeric,528,21,549,1,,[],p1Suntz-fdNmn-a3bc0fc53bbaa2a3,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:22:41.148267+00:00,2026-09-16T01:22:42.176761+00:00,1.029,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
17,128,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,24019262,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,567,20,587,1,,[],p1Supuj-4YNCb4-a3bc0fef8e0931ac,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:22:47.906894+00:00,2026-09-16T01:22:49.345270+00:00,1.438,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
18,143,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,18670651,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,644,20,664,1,,[],p1SuvNs-fdNmn-a3bc10628e871fde,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:23:06.238959+00:00,2026-09-16T01:23:07.267417+00:00,1.028,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
19,148,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,15137012,REFUTED,REFUTED,0.2,COMMIT,full,clean,1,short,1085,300,explicit_numeric,587,21,608,1,,[],p1SuxM4-4YNCb4-a3bc108c1f82aa1d,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:23:13.002388+00:00,2026-09-16T01:23:13.820714+00:00,0.818,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
20,155,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,11380492,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,585,20,605,1,,[],p1Suzkc-fdNmn-a3bc10be89c583c2,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:23:20.986089+00:00,2026-09-16T01:23:21.909410+00:00,0.923,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
21,160,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,17274051,REFUTED,INCONCLUSIVE,0.7,SEEK_EVIDENCE,full,clean,0,short,1200,300,explicit_numeric,650,24,674,1,,[],p1Sv2Yg-4YNCb4-a3bc10e46b425933,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:23:27.103017+00:00,2026-09-16T01:23:28.770766+00:00,1.668,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.7
ACTION: SEEK_EVIDENCE",67
22,175,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,12846929,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,584,20,604,1,,[],p1Sv7vx-fdNmn-a3bc11556c2cdfaf,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:23:45.156668+00:00,2026-09-16T01:23:45.973152+00:00,0.816,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
23,180,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,18948835,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1184,300,explicit_numeric,604,20,624,1,,[],p1Sv9Wr-fdNmn-a3bc1176be584c37,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:23:50.484226+00:00,2026-09-16T01:23:51.299740+00:00,0.816,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
24,187,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,23052500,REFUTED,SUPPORTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,615,20,635,1,,[],p1SvC9U-fdNmn-a3bc11adbae43282,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:23:59.287329+00:00,2026-09-16T01:24:00.208192+00:00,0.921,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
25,192,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,25488308,REFUTED,SUPPORTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,584,20,604,1,,[],p1SvDpQ-fdNmn-a3bc11d11a00b225,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:24:04.925800+00:00,2026-09-16T01:24:06.248636+00:00,1.323,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
26,207,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,24946973,INCONCLUSIVE,REFUTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,632,21,653,1,,[],p1SvJtd-fdNmn-a3bc123bd8d72544,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:24:22.019712+00:00,2026-09-16T01:24:22.837302+00:00,0.818,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
27,212,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,27456836,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,655,20,675,1,,[],p1SvLUw-4YNCb4-a3bc125d8853a273,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:24:27.449273+00:00,2026-09-16T01:24:29.392267+00:00,1.943,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
28,219,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,17244100,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,566,20,586,1,,[],p1SvPSZ-fdNmn-a3bc129b7bfdff27,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:24:37.274678+00:00,2026-09-16T01:24:38.300484+00:00,1.026,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
29,224,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,23347337,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,585,20,605,1,,[],p1SvRHh-fdNmn-a3bc12c25acca2be,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:24:43.531116+00:00,2026-09-16T01:24:44.341393+00:00,0.81,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
30,239,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,24098953,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1016,300,explicit_numeric,568,20,588,1,,[],p1SvWUQ-fdNmn-a3bc132f0ea7a29c,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:25:00.932845+00:00,2026-09-16T01:25:01.749597+00:00,0.817,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
31,244,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,25274085,REFUTED,SUPPORTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,570,20,590,1,,[],p1SvY4n-4YNCb4-a3bc1350f906df96,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:25:06.365850+00:00,2026-09-16T01:25:07.398426+00:00,1.033,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
32,251,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,12913878,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,829,300,explicit_numeric,554,20,574,1,,[],p1SvaNG-4YNCb4-a3bc138168eda266,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:25:14.047511+00:00,2026-09-16T01:25:14.960111+00:00,0.913,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
33,256,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,16097998,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1155,300,explicit_numeric,554,20,574,1,,[],p1SvcHq-fdNmn-a3bc13a99ba3fbd3,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:25:20.500793+00:00,2026-09-16T01:25:21.615708+00:00,1.115,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
34,271,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,10593212,REFUTED,REFUTED,0.2,COMMIT,full,clean,1,short,1142,300,explicit_numeric,544,21,565,1,,[],p1SviAG-fdNmn-a3bc14251899f2b5,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:25:40.254185+00:00,2026-09-16T01:25:41.276182+00:00,1.022,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
35,276,C1,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,22012962,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,584,20,604,1,,[],p1Svjr1-4YNCb4-a3bc1448a890a837,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:25:45.996263+00:00,2026-09-16T01:25:47.116168+00:00,1.12,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
