row_order,schedule_index,condition,model_key,model,pubmed_id,gold_label,decision,error_prob,action,parse_status,parse_notes,is_correct,evidence_policy,evidence_chars,max_tokens,threshold_rule,prompt_tokens,completion_tokens,total_tokens,api_attempts,api_error,retry_events_json,response_id,response_model,system_fingerprint,request_started_utc,request_finished_utc,latency_seconds,raw_response,raw_length
1,2,C2,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,26348845,SUPPORTED,REFUTED,0.2,COMMIT,full,clean,0,full,1329,300,explicit_numeric,662,21,683,1,,[],p1Su2q4-4YNCb4-a3bc0c26dc8d4c37,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:12.907609+00:00,2026-09-16T01:20:13.709418+00:00,0.802,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
2,9,C2,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,10973547,REFUTED,REFUTED,0.2,COMMIT,full,clean,1,full,1639,300,explicit_numeric,731,21,752,1,,[],p1Su5LS-fdNmn-a3bc0c5b5ec9e09b,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:21.272789+00:00,2026-09-16T01:20:22.314619+00:00,1.042,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
3,22,C2,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,26163474,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1681,300,explicit_numeric,708,20,728,1,,[],p1SuAd4-fdNmn-a3bc0cca88cb2544,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:39.088917+00:00,2026-09-16T01:20:40.280288+00:00,1.191,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
4,29,C2,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,24374414,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1735,300,explicit_numeric,718,20,738,1,,[],p1SuCuu-4YNCb4-a3bc0cfaf8cf18fe,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:46.856141+00:00,2026-09-16T01:20:47.897762+00:00,1.042,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
5,34,C2,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,18507507,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,1385,300,explicit_numeric,557,20,577,1,,[],p1SuEr3-fdNmn-a3bc0d235f4231ac,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:53.328557+00:00,2026-09-16T01:20:54.400765+00:00,1.072,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
6,41,C2,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,23495128,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,1572,300,explicit_numeric,612,20,632,1,,[],p1SuHDz-fdNmn-a3bc0d555efc9507,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:01.311375+00:00,2026-09-16T01:21:02.134187+00:00,0.823,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
7,54,C2,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,17192736,REFUTED,REFUTED,0.2,COMMIT,full,clean,1,full,1465,300,explicit_numeric,701,21,722,1,,[],p1SuMis-4YNCb4-a3bc0db42df192ef,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:16.464726+00:00,2026-09-16T01:21:17.535868+00:00,1.071,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
8,61,C2,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,12163782,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,2109,300,explicit_numeric,789,20,809,1,,[],p1SuQAp-4YNCb4-a3bc0de798dba27f,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:24.674437+00:00,2026-09-16T01:21:25.786636+00:00,1.112,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
9,66,C2,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,9582182,SUPPORTED,REFUTED,0.2,COMMIT,full,clean,0,full,1100,300,explicit_numeric,570,21,591,1,,[],p1SuRwi-fdNmn-a3bc0e0cafa497bf,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:30.600921+00:00,2026-09-16T01:21:31.367091+00:00,0.766,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
10,73,C2,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,25588461,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,1293,300,explicit_numeric,586,20,606,1,,[],p1SuU7L-4YNCb4-a3bc0e3a7e620aa4,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:37.865409+00:00,2026-09-16T01:21:38.805874+00:00,0.94,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
